Temperature,DewPoint,Humidity,Load
9.23,-0.58,3.68,3828.14
8.32,-1.13,3.53,3656.59
7.37,-1.32,3.47,3415.53
6.36,-1.63,3.4,3116.52
5.34,-1.92,3.32,2620.91
4.63,-2.21,3.25,2166.84
3.98,-2.47,3.19,1895.42
3.37,-2.64,3.15,1760.8
2.9,-2.82,3.1,1686.1
2.66,-2.9,3.09,1738.95
2.43,-3.01,3.06,2014.08
2.93,-2.8,3.11,2605.59
5.1,-2.31,3.23,3394.56
7.44,-2.93,3.07,3991.8
10.52,-2.15,3.26,4276.91
15.26,-4.23,2.78,4468.12
17.32,-4.87,2.64,4284.98
18.69,-4.93,2.63,3937.57
19.5,-5.08,2.6,3447.73
19.48,-5.05,2.61,3270.1
18.51,-2.89,3.13,3133.86
15.68,0.62,4.04,3106.32
14.19,-2.08,3.3,3303.94
13.46,-2.24,3.25,3584.34
12.67,-2.43,3.2,3545.8
11.78,-3.1,3.04,3378.41
11.27,-3.12,3.03,3204.96
10.54,-3.12,3.03,2905.92
10.35,-3.52,2.94,2491.69
9.75,-3.55,2.94,2059.71
8.51,-3.13,3.04,1792.76
7.31,-2.71,3.14,1663.9
6.21,-2.41,3.21,1605.82
5.72,-2.3,3.24,1641.37
5.94,-2.37,3.22,1838.3
6.57,-2.58,3.17,2302.76
8.03,-0.88,3.62,2953.36
10.54,-1.96,3.32,3597.51
13.45,-1.22,3.51,4008.73
17.57,-2.19,3.26,4299.11
19.85,-2.45,3.2,4224.75
21.41,-2.82,3.12,3953.77
22.29,-3.09,3.05,3426.53
22.33,-3.33,3,3152.83
21.43,-1.83,3.38,2961.11
19.53,0.02,3.9,2908.51
17.09,-1.87,3.36,3060.65
14.94,-1.09,3.57,3359.39
12.55,-0.49,3.72,3340.96
10.89,-0.2,3.8,3194.64
9.94,-0.24,3.79,3034.85
9.27,-0.18,3.81,2778.37
8.7,-0.08,3.84,2351.9
8.21,0.01,3.87,1934.35
7.81,0.08,3.89,1707.41
7.53,0.15,3.92,1602.18
7.23,0.17,3.92,1556.84
6.93,0.19,3.93,1636.93
6.72,0.24,3.94,2024.77
6.62,0.37,3.98,2896.93
9.19,1.02,4.17,3700.81
12.33,1.01,4.16,4041.97
15.8,2.14,4.52,4248.99
19.42,3.06,4.83,4339.88
21.39,4.83,5.49,4325.35
23.19,7.38,6.58,4077.29
24.71,9.97,7.84,3688.99
24.63,11.84,8.86,3632.14
22.42,13.71,10,3499.89
19.37,14.57,10.56,3401.67
17.31,14.82,10.73,3511.71
15.53,14.24,10.34,3657.69
14.01,12.71,9.35,3541.96
12.69,11.38,8.53,3356.51
11.59,10.47,8.02,3101.58
10.76,9.98,7.75,2853.41
10.11,9.69,7.6,2422.78
9.55,9.54,7.52,2024.04
9.09,9.4,7.46,1784.62
8.72,9.23,7.38,1674.25
8.07,8.94,7.23,1631.77
7.61,8.62,7.07,1715.68
7.48,8.37,6.95,2068.71
7.48,8.15,6.84,2913.09
8.93,8.41,6.96,3701.61
10.9,9.09,7.29,4093.15
13.16,9.71,7.59,4273.8
15.82,9.04,7.26,4440.36
17.39,8.11,6.82,4348.42
18.29,7.39,6.51,4084.01
18.79,6.84,6.27,3618.58
18.85,6.5,6.12,3485.58
18.23,6.29,6.04,3365.45
15.51,7.39,6.51,3286.49
12.66,6.17,5.98,3444.61
11.88,5.39,5.66,3685.4
11.24,4.69,5.38,3613.91
10.49,4.14,5.17,3404.56
9.66,3.81,5.05,3173.98
8.82,3.74,5.03,2889.62
7.96,3.9,5.09,2421.18
7.13,4.22,5.21,1996.66
6.38,4.59,5.34,1738.11
5.73,4.95,5.48,1627.84
5.23,5.23,5.59,1585.55
4.87,5.45,5.67,1676.37
4.6,5.58,5.72,2063.36
4.56,5.65,5.75,2975.14
6.95,5.75,5.79,3847.56
9.42,6.06,5.91,4199.97
13.32,6.09,5.92,4421.47
17.84,4.8,5.41,4479.67
19.64,5.23,5.58,4262.85
20.59,5.68,5.77,3972.71
21,6.03,5.91,3551.06
20.93,6.24,6,3449.44
20.23,6.49,6.11,3331.17
17.48,8.93,7.26,3297.84
14.14,7.28,6.45,3366.27
13.08,6.74,6.21,3712.7
12.37,6.45,6.08,3653.72
11.63,6.05,5.91,3467.2
10.89,5.46,5.68,3187.16
10.13,4.82,5.43,2873.95
9.02,4.3,5.24,2434.28
8.72,4.23,5.21,2003.1
8.68,4.34,5.26,1759.07
8.55,4.75,5.41,1641.5
8.41,5.2,5.58,1599.28
8.32,5.6,5.74,1679.95
8.23,6.02,5.91,2083.09
8.27,6.47,6.09,3062.05
9.03,6.93,6.29,3762.53
10.33,7.71,6.64,3947.84
12.91,8.53,7.01,4187.97
15.25,8.65,7.07,4341.5
16.65,8.82,7.15,4258.12
17.29,9.19,7.35,4009.71
17.5,9.57,7.55,3619.2
17.03,9.9,7.72,3654.03
16.07,10.31,7.94,3657.67
14.5,11.45,8.57,3566.35
13.11,11.2,8.41,3662.53
11.64,11.04,8.32,3835.06
11.15,10.95,8.26,3805.44
11.29,10.88,8.22,3572.07
11.04,10.66,8.11,3296.67
10.72,10.44,7.99,2992.93
10.39,10.24,7.89,2484.26
9.88,9.97,7.74,2049.41
8.87,9.43,7.47,1799.1
8.31,8.98,7.25,1680.29
8.1,8.66,7.09,1633.16
7.87,8.33,6.93,1695.49
7.47,7.91,6.73,2087.5
7.31,7.64,6.6,3054.89
9.18,8.54,7.02,3847.6
11.1,9.55,7.51,4137.65
14.44,9.52,7.5,4376.98
17,8.38,6.93,4560.51
18.42,7.68,6.61,4474.19
19.18,7.37,6.48,4236.67
19.46,7.15,6.39,3811.83
19.36,6.83,6.25,3717.75
18.64,6.61,6.15,3599.07
16.01,8.25,6.9,3453.86
13.38,6.9,6.28,3578.67
12.57,6.76,6.21,3768.37
12.31,6.77,6.21,3750.28
11.7,6.6,6.13,3492.69
10.72,6.31,6.01,3237.17
10.44,6.31,6.01,2947.29
10.01,6.27,5.99,2496.42
9.49,6.19,5.97,2086.89
8.91,6.15,5.95,1839.46
8.7,6.2,5.97,1706.58
8.69,6.27,6,1650.32
8.55,6.34,6.03,1698.3
8.54,6.4,6.05,2025.23
8.67,6.45,6.07,2761.82
9.61,6.65,6.15,3516.38
11.65,7.04,6.31,3928.1
15.84,6.75,6.18,4078.45
18.58,6.28,5.99,4285.5
19.68,5.84,5.81,4182.51
20.27,5.42,5.65,3918.26
20.37,5.11,5.53,3535.98
19.93,4.88,5.45,3394.15
19.03,4.91,5.46,3244.65
16.51,7.24,6.45,3188.84
13.74,6.05,5.91,3332.13
12.18,5.78,5.79,3569.67
11.13,5.68,5.75,3561.43
10.3,5.56,5.7,3374.32
9.54,5.41,5.64,3180.81
8.79,5.25,5.57,2930.7
8.08,5.08,5.51,2503.78
7.41,4.91,5.45,1998.01
6.8,4.74,5.39,1759.29
6.23,4.61,5.34,1626.03
5.71,4.52,5.3,1574.47
5.23,4.44,5.28,1612.01
4.78,4.38,5.25,1818.59
4.34,4.33,5.23,2270.58
6.46,4.38,5.24,2902.34
8.91,4.59,5.32,3589.9
13.02,4.59,5.32,4100.53
16.23,4.12,5.14,4473.17
17.79,3.61,4.97,4491.93
18.8,3.01,4.76,4222.43
19.27,2.45,4.58,3673.34
19.03,1.98,4.43,3408.57
18.01,1.89,4.41,3147.72
14.48,4.61,5.35,3086.48
11.12,3.54,4.95,3269.61
10.02,3.24,4.84,3579.88
9.41,3.28,4.86,3584.97
8.56,3.36,4.88,3472.18
7.77,3.44,4.91,3282.37
7.14,3.59,4.96,3019.19
6.6,3.77,5.03,2541.1
6.09,3.96,5.1,2105.87
5.62,4.12,5.16,1876.49
5.14,4.28,5.22,1766.75
4.7,4.4,5.27,1723.89
4.3,4.47,5.3,1784.8
3.93,4.51,5.31,2184.67
3.68,4.52,5.31,3164.86
6.07,4.61,5.34,2306.29
8.55,4.83,5.42,2464.76
12.53,5.23,5.57,3677.43
16.14,4.63,5.34,4502.94
17.54,4.05,5.13,4331.43
18.1,3.43,4.91,4035.94
17.86,2.9,4.74,3677.11
17.59,2.58,4.63,3637.07
17.05,2.98,4.77,3557.62
15.03,6.04,5.92,3500.26
13.27,4.05,5.14,3572.85
12.36,3.85,5.06,3790.72
11.32,3.93,5.09,3727.69
10.46,4.03,5.12,3552.74
9.88,4.03,5.12,3316.14
9.69,4.08,5.14,3003.03
9.43,4.05,5.13,2499.47
9.13,4.05,5.14,2040.61
8.81,4.05,5.14,1777.18
8.55,4.01,5.12,1661.5
8.02,3.82,5.06,1603.32
6.93,3.35,4.89,1679.74
6.06,2.91,4.74,2075.73
5.82,2.6,4.63,3080.03
8.31,2.79,4.69,3900.71
10.68,2.74,4.67,4134.86
14.66,2.6,4.62,4303.03
17.54,2.1,4.46,4401.25
18.9,2.03,4.44,4211.15
19.71,2.05,4.45,3968.92
20.16,2.09,4.47,3532.89
20.04,2.17,4.5,3482.7
19.3,2.43,4.58,3413.69
17.17,4.79,5.44,3358.17
14.49,3.71,5.02,3477.51
12.7,3.51,4.94,3719.81
11.38,3.15,4.81,3672.96
10.56,2.74,4.67,3471.57
9.84,2.27,4.51,3251.46
9.17,1.91,4.4,2934.45
8.53,1.72,4.34,2459.81
7.9,1.62,4.31,2016.23
7.41,1.54,4.29,1780.03
7.29,1.46,4.27,1663.14
7.73,1.33,4.23,1618.86
7.98,1.29,4.22,1687.42
7.37,1.46,4.28,2095.22
6.28,1.82,4.39,3127.32
7.98,3.05,4.79,3927.08
10.74,3.59,4.96,4202.42
14.54,3.67,4.99,4429.7
18.21,2.43,4.55,4548.69
19.65,2.67,4.64,4420.87
20.57,2.68,4.65,4091.82
20.96,2.49,4.59,3645.64
20.75,2.31,4.53,3562.65
19.82,2.4,4.56,3448.4
16.43,4.44,5.28,3367.33
12.61,3.83,5.05,3507.82
11.64,3.43,4.9,3724.14
10.76,3.27,4.84,3703.28
9.92,3.21,4.82,3511.02
9.28,3.23,4.83,3274.22
8.59,3.32,4.86,2958.14
8,3.41,4.89,2489.71
7.49,3.52,4.93,2040.31
6.92,3.65,4.98,1782.32
6.31,3.78,5.03,1654.15
5.62,3.86,5.06,1614.97
5.03,3.91,5.08,1664.34
4.54,3.89,5.07,2063.53
4.17,3.82,5.04,3065.15
5.87,3.77,5.02,3873.4
8.77,3.95,5.08,4115.79
13.54,3.85,5.04,4244.23
17.19,2.6,4.62,4318.25
18.79,1.75,4.35,4131.81
19.84,1,4.12,3819.5
20.28,0.57,4,3402.73
20.03,0.24,3.91,3393.88
18.99,0.07,3.86,3343.27
16.02,1.1,4.17,3274.31
11.51,1.59,4.31,3451.84
10.21,1.3,4.22,3740.33
9.14,1.07,4.14,3693.57
8.38,0.8,4.06,3515.95
7.95,0.56,3.99,3275.81
7.65,0.4,3.95,2962.16
7.25,0.33,3.93,2452.44
6.75,0.28,3.91,2017.38
6.17,0.22,3.9,1760.22
5.6,0.15,3.88,1651.66
5,0.08,3.86,1607.06
4.47,-0.03,3.83,1680.92
3.96,-0.17,3.8,2152.54
3.53,-0.33,3.75,3186.67
5.22,-0.4,3.73,4011.42
8.36,-0.14,3.8,4291.73
13.34,-0.1,3.81,4479.83
17.87,-2.12,3.28,4540.03
19.93,-2.81,3.11,4373.29
21.38,-3.27,3.01,4073.13
22.16,-3.43,2.97,3595.09
22.13,-3.41,2.98,3453.57
21.08,-2.46,3.21,3329.36
16.72,1.67,4.36,3264.57
12.52,0.71,4.06,3409.42
11.38,0.18,3.9,3658.31
10.47,-0.13,3.81,3634.85
9.53,-0.27,3.77,3430.85
8.62,-0.3,3.76,3196.29
7.84,-0.34,3.75,2900.16
7.12,-0.42,3.72,2432.96
6.5,-0.53,3.7,2033.97
6.01,-0.66,3.66,1794.85
5.7,-0.79,3.63,1679.32
5.42,-0.85,3.62,1641.51
5.14,-0.88,3.61,1708.4
4.88,-0.88,3.6,2022.8
4.7,-0.82,3.61,2753.39
7.17,0.22,3.9,3497.16
10.15,-0.15,3.79,3936.14
14.15,0.08,3.86,4138.6
18.89,-2.18,3.26,4210.95
20.48,-2.12,3.28,4069.43
21.31,-1.89,3.34,3744.62
21.59,-1.75,3.38,3284.98
21.25,-1.59,3.42,3169.85
20.12,-0.7,3.66,3084.21
17.21,4.97,5.53,2973.26
14.56,2.41,4.59,3134.69
13.02,2.22,4.52,3393.24
11.7,2.16,4.5,3409.9
10.82,2.02,4.46,3218.87
10.32,1.91,4.42,3003.67
10.07,1.85,4.4,2722.23
10.19,1.8,4.39,2334.06
10.43,1.43,4.28,1934.54
10.37,0.99,4.14,1700.47
10.2,1.02,4.15,1582.49
9.86,0.94,4.13,1523.54
9.34,0.67,4.05,1577.69
9.11,0.47,3.99,1793.11
9.2,0.36,3.95,2232.15
10.77,1.86,4.41,2821.33
13.01,1.27,4.21,3403.23
17.06,3.94,5.12,3643.17
20.56,5.94,5.87,3686.36
21.94,6.28,6.01,3588.66
22.94,6.62,6.16,3388.65
23.52,6.83,6.26,2977.14
23.48,6.73,6.22,2553.88
22.66,6.92,6.3,2301.21
19.31,9.54,7.55,2193.41
16.04,7.85,6.71,2357.58
14.56,7.69,6.63,2688.74
13.47,7.72,6.64,2746.58
12.57,7.64,6.61,2695.24
11.84,7.48,6.54,2621.37
11.34,7.27,6.44,2370.25
11.11,7,6.33,1981.85
10.92,6.75,6.22,1629.41
10.53,6.53,6.13,1430.89
10.12,6.38,6.07,1350.12
9.84,6.32,6.05,1327.97
9.15,6.24,6.02,1406.64
8.72,6.16,5.98,1829.76
8.53,6.1,5.96,2815.4
11.08,6.41,6.08,3534.53
13.62,6.51,6.12,3773.2
17.1,6.93,6.3,4033.47
20.92,6.28,6.02,4172.01
22.32,5.8,5.83,4089.33
23.01,5.41,5.68,3838.55
22.94,5.31,5.65,3419.03
22.04,5.69,5.8,3301.81
20.57,7.28,6.49,3208.81
18.3,9.24,7.41,3154.78
16.26,8.76,7.17,3312.13
15.74,8.86,7.21,3484.15
15.34,9.06,7.31,3463.67
14.95,9.34,7.44,3250.95
14.44,9.6,7.58,2993.92
13.9,9.73,7.64,2700.63
13.29,9.69,7.62,2269.36
12.73,9.59,7.58,1871.56
12.23,9.58,7.58,1667.88
11.76,9.62,7.6,1575.98
11.4,9.63,7.61,1534.94
11.13,9.62,7.6,1602.02
10.92,9.61,7.59,1965.72
10.79,9.58,7.57,2809.13
11.23,9.74,7.65,3604.92
12.08,10.14,7.85,3904.06
13.72,10.21,7.89,4052.99
16.57,10.14,7.86,4233.87
18.97,10.14,7.86,4099.75
20.05,10.24,7.92,3835.3
20.12,10.1,7.86,3427.82
20.06,10.07,7.84,3358.75
19.74,10.34,7.99,3256.47
17.75,11.67,8.73,3198.5
15.53,10.75,8.2,3333.84
15.05,10.76,8.2,3533.77
15.12,10.82,8.22,3498.67
15.12,10.66,8.13,3286.04
15.04,10.28,7.92,3037.06
13.97,10.23,7.9,2706.95
12.48,9.98,7.77,2255.45
11.26,9.32,7.42,1870.69
10.14,8.63,7.09,1650.77
9.28,8.07,6.82,1556.3
8.66,7.61,6.61,1527.39
8.12,7.28,6.46,1608.33
7.72,7.16,6.4,2005.85
7.62,7.28,6.44,2993.32
10.21,9.1,7.3,3772
12.54,10.43,7.97,3996.72
15.95,8.4,6.95,4153.87
18.41,5.87,5.83,4304.56
19.75,4.82,5.42,4078.4
20.55,4.15,5.18,3755
20.82,3.63,4.99,3330.85
20.54,3.24,4.86,3237.38
19.68,2.98,4.77,3168.08
16.97,6.12,5.97,3080.95
13.32,5.28,5.6,3223.94
12.13,4.85,5.43,3419.47
11.25,4.62,5.34,3446.16
10.46,4.47,5.28,3235.73
9.78,4.39,5.25,2975.9
9.15,4.35,5.23,2708.74
8.56,4.32,5.23,2266.35
8.02,4.35,5.24,1899.46
7.47,4.47,5.28,1695.29
6.93,4.63,5.35,1606.51
6.38,4.86,5.43,1558.09
5.85,5.09,5.52,1634.16
5.37,5.3,5.6,2016.34
5.1,5.46,5.66,2926.97
8,5.69,5.75,3650.39
10.85,6,5.87,3875.25
15.84,4.62,5.34,3978.3
18.42,3.45,4.91,4060.69
19.5,2.99,4.75,3966.07
20.17,2.5,4.6,3670.37
20.41,1.96,4.43,3235.3
20.11,1.52,4.29,3172.55
19.12,1.24,4.21,3137.69
16.31,3.31,4.89,3077.39
12.24,3.39,4.91,3237.16
11.09,2.94,4.75,3504.39
10.23,2.63,4.64,3509.81
9.49,2.36,4.55,3281.03
8.84,2.19,4.5,3003.78
8.23,2.12,4.48,2673.38
7.63,2.12,4.48,2284.7
7.02,2.17,4.5,1914.1
6.41,2.28,4.54,1692.72
5.82,2.42,4.59,1587.51
5.29,2.56,4.63,1532.26
4.86,2.68,4.67,1620.57
4.53,2.78,4.71,2020.84
4.39,2.84,4.73,2947.9
7.39,3.22,4.85,3768.51
10.2,3.44,4.92,4065.48
15.1,2.86,4.73,4250.82
18.03,1.84,4.39,4412.94
19.19,1.52,4.3,4294.18
19.99,1.21,4.2,4013.94
20.37,0.93,4.12,3487.11
20.15,0.66,4.05,3282.74
19.19,0.59,4.03,3199.73
16.22,4.71,5.45,3107.29
13.33,2.86,4.74,3244.6
12.23,2.45,4.6,3529.71
11.6,2.12,4.49,3504.34
11.3,1.73,4.36,3285.51
10.99,1.43,4.27,3022.42
10.95,1.23,4.21,2743.57
10.97,1.07,4.16,2315.59
10.64,1.03,4.15,1924.72
10.15,0.97,4.13,1724.63
9.62,0.92,4.12,1612.62
9.06,0.88,4.11,1565.35
8.42,0.85,4.1,1625.49
7.69,0.82,4.08,1945.28
6.76,0.78,4.07,2659.41
8.5,1.92,4.42,3410.48
11.35,1.48,4.27,3799.2
15.77,1.8,4.36,3937.47
18.69,1.97,4.42,4024.56
19.87,1.98,4.42,3887.72
20.58,1.83,4.38,3607.1
20.85,1.67,4.33,3170.82
20.53,1.6,4.31,3055.38
19.65,1.61,4.31,2940.89
16.59,5.24,5.61,2921.92
12.97,4.03,5.12,3067.99
11.69,3.5,4.93,3336.28
10.76,3.22,4.83,3341.62
9.89,2.98,4.74,3123.93
9.09,2.74,4.66,2897.37
8.36,2.58,4.61,2615.86
7.73,2.44,4.57,2220.38
7.23,2.31,4.53,1850.35
6.8,2.21,4.5,1636.64
6.21,2.17,4.48,1526.76
5.51,2.14,4.48,1474.77
4.87,2.12,4.47,1521.67
4.33,2.1,4.46,1753.26
4.02,2.12,4.46,2249.51
7.09,2.44,4.56,2914.16
9.9,2.75,4.66,3573.86
14.21,2.6,4.61,3931.98
17.24,1.52,4.27,4173.44
18.83,1.21,4.18,4153.26
19.98,0.99,4.13,3928.75
20.6,0.85,4.09,3416.08
20.53,0.7,4.05,3118.66
19.65,0.85,4.1,2900.49
16.38,4.64,5.38,2821.5
12.64,3.31,4.87,2909.05
11.32,2.88,4.72,3211.34
10.28,2.77,4.68,3266.27
9.48,2.72,4.66,3111.99
8.69,2.82,4.69,2902.08
8.1,2.89,4.72,2628.89
7.54,2.99,4.75,2203.74
7.27,3.06,4.78,1831.06
7,3.15,4.81,1610.67
7.1,3.2,4.83,1514.11
6.96,3.23,4.84,1485.71
6.37,3.24,4.84,1558.36
5.99,3.23,4.84,1973.48
5.55,3.18,4.82,2968.04
7.44,3.47,4.91,3768.5
10.13,3.55,4.94,4010.79
14.5,3.21,4.83,4144.15
17.84,1.17,4.17,4174.22
19.32,0.37,3.94,3967.35
20.37,-0.17,3.79,3691.89
20.93,-0.59,3.68,3242.44
20.85,-0.92,3.59,3171.83
20,-1.04,3.56,3081.38
17.54,3,4.81,3041.31
14.76,0.71,4.05,3166.53
13.46,0.15,3.89,3466.38
12.07,0.19,3.9,3475.59
10.68,0.15,3.88,3251.91
9.53,0.11,3.87,3018.31
8.5,0.1,3.87,2703.36
7.66,0.1,3.87,2280.64
6.91,0.12,3.88,1900.83
